title,price,kilometer,shangpai-date,chepai-location,standard,change-speed
阿尔法·罗密欧-Stelvio 2018款 2.0T 200HP 精英版,20.68万,4.83万公里,2年10个月,郑州,国五,自动
阿尔法·罗密欧-Stelvio 2018款 2.0T 200HP 精英版,21.88万,3.36万公里,2年10个月,郑州,国五,自动
阿尔法·罗密欧-Stelvio 2018款 2.0T 200HP 精英版,19.98万,6.06万公里,2年11个月,佛山,国五,自动
阿尔法·罗密欧-Stelvio 2018款 2.0T 200HP 精英版,20.30万,3.53万公里,3年8个月,郑州,国五,自动
阿尔法·罗密欧-Stelvio 2018款 2.0T 200HP 精英版,24.50万,1.85万公里,2年10个月,重庆,国五,自动
阿尔法·罗密欧-Giulia 2018款 2.0T 200HP 豪华版,18.50万,7.41万公里,3年5个月,郑州,国五,自动
阿尔法·罗密欧-Giulia 2018款 2.0T 260HP 豪华版,19.00万,10.55万公里,3年4个月,沈阳,国五,自动
阿尔法·罗密欧-Stelvio 2018款 2.0T 200HP 豪华版,23.80万,4.77万公里,3年,北京,国五,自动
阿尔法·罗密欧-Stelvio 2018款 2.0T 200HP 豪华版,20.50万,5.59万公里,3年4个月,广州,国五,自动
阿尔法·罗密欧-Giulia 2018款 2.0T 200HP 豪华版,21.58万,3.38万公里,3年4个月,苏州,国五,自动
阿尔法·罗密欧-Stelvio 2018款 2.0T 200HP 豪华版,20.00万,7.22万公里,2年11个月,广州,国五,自动
阿尔法·罗密欧-Stelvio 2020款 2.0T 260HP 豪华版,30.00万,2.00万公里,1年10个月,昆明,国五,自动
阿尔法·罗密欧-Giulia 2018款 2.0T 200HP 精英版,16.00万,5.29万公里,4年11个月,哈尔滨,国五,自动
阿尔法·罗密欧-Stelvio 2018款 2.0T 200HP 豪华版,23.50万,5.58万公里,3年4个月,承德,国五,自动
阿尔法·罗密欧-Stelvio 2018款 2.0T 200HP 豪华版,21.00万,5.28万公里,2年10个月,北京,国五,自动
阿尔法·罗密欧-Stelvio 2018款 2.0T 200HP 精英版,21.80万,4.21万公里,2年10个月,广州,国五,自动
阿尔法·罗密欧-Stelvio 2018款 2.0T 200HP 精英版,22.50万,1.30万公里,2年10个月,合肥,国五,自动
阿尔法·罗密欧-Stelvio 2018款 2.0T 200HP 豪华版,23.00万,3.80万公里,2年11个月,南通,国五,自动
阿尔法·罗密欧-Stelvio 2018款 2.0T 200HP 豪华版,25.00万,4.01万公里,2年7个月,北京,国五,自动
阿尔法·罗密欧-Giulia 2018款 2.0T 260HP 豪华版,27.00万,3.45万公里,3年4个月,宁波,国五,自动
阿尔法·罗密欧-Giulia 2020款 2.0T 260HP 赛道限量版,26.00万,2.37万公里,1年11个月,上海,国五,自动
阿尔法·罗密欧-Stelvio 2018款 2.0T 200HP 精英版,20.58万,7.85万公里,2年10个月,武汉,国五,自动
阿尔法·罗密欧-Stelvio 2018款 2.0T 200HP 精英版,26.00万,2.85万公里,2年10个月,商丘,国五,自动
阿尔法·罗密欧-Giulia 2018款 2.0T 260HP 豪华版,21.80万,8.44万公里,4年4个月,中山,国五,自动
阿尔法·罗密欧-Stelvio 2018款 2.0T 200HP 精英版,27.80万,4.28万公里,2年10个月,潍坊,国五,自动
阿尔法·罗密欧-Giulia 2018款 2.0T 200HP 豪华版,19.99万,5.31万公里,4年8个月,开封,国五,自动
阿尔法·罗密欧-Stelvio 2018款 2.0T 200HP 精英版,22.86万,3.24万公里,2年10个月,宜春,国五,自动
阿尔法·罗密欧-Stelvio 2018款 2.0T 200HP 豪华版,25.00万,4.13万公里,2年9个月,石嘴山,国五,自动
阿尔法·罗密欧-Stelvio 2018款 2.0T 200HP 豪华版,22.00万,1.56万公里,3年2个月,郑州,国五,自动
阿尔法·罗密欧-Stelvio 2018款 2.0T 200HP 精英版,24.50万,4.06万公里,2年10个月,南充,国四,自动
奥迪-奥迪A1 2013款 30 TFSI Sportback Ego,6.99万,6.85万公里,8年10个月,重庆,国四,自动
奥迪-奥迪Q5 2017款 40 TFSI 技术型,14.30万,18.05万公里,6年,北京,国五,自动
奥迪-奥迪A4L 2017款 45 TFSI 典藏版 quattro个性运动型,14.80万,13.53万公里,6年3个月,苏州,国五,自动
奥迪-奥迪Q3 2013款 35 TFSI 舒适型,12.58万,9.48万公里,8年,北京,国四,自动
奥迪-奥迪Q3 2018款 30 TFSI 标准型,12.90万,4.15万公里,5年7个月,昆明,国五,自动
奥迪-奥迪A7L 2012款 30 FSI 舒适型,15.20万,12.27万公里,9年7个月,北京,国四,自动
奥迪-奥迪A7L 2010款 2.0 TFSI 自动标准型,7.90万,11.76万公里,10年6个月,郑州,国四,自动
奥迪-奥迪A3 2015款 Sportback 35 TFSI 百万纪念舒享型,11.68万,5.45万公里,6年4个月,北京,国五,自动
奥迪-奥迪A3 2018款 Sportback 35 TFSI 时尚型,11.20万,4.20万公里,4年10个月,天津,国五,自动
奥迪-奥迪Q3 2015款 30 TFSI 舒适型,13.98万,6.35万公里,6年4个月,北京,国四,自动
奥迪-奥迪Q3 2013款 35 TFSI 进取型,12.28万,9.16万公里,7年10个月,北京,国四,自动
奥迪-奥迪A7L 2011款 2.0 TFSI 自动标准型,5.98万,16.70万公里,10年9个月,佛山,国四,自动
奥迪-奥迪A4L 2015款 35 TFSI 自动标准型,14.80万,10.40万公里,7年4个月,郑州,国四,自动
奥迪-奥迪Q5 2011款 2.0TFSI 舒适型,7.88万,37.43万公里,10年8个月,成都,国三,自动
奥迪-奥迪Q3 2017款 35 TFSI 时尚型,13.88万,5.12万公里,5年5个月,深圳,国五,自动
奥迪-奥迪Q3 2015款 30 TFSI 舒适型,10.88万,7.19万公里,6年,北京,国五,自动
奥迪-奥迪A4L 2018款 Plus 40 TFSI 运动型,18.20万,10.05万公里,4年5个月,佛山,国五,自动
奥迪-奥迪A3 2015款 Sportback 35 TFSI 百万纪念舒享型,11.60万,3.36万公里,6年,北京,国五,自动
奥迪-奥迪A4L 2015款 35 TFSI 自动舒适型,13.88万,12.23万公里,7年1个月,郑州,国五,自动
奥迪-奥迪A4(进口) 2018款 45 TFSI allroad quattro 运动型,23.00万,9.52万公里,4年1个月,北京,国五,自动
奥迪-奥迪A3 2020款 Limousine 35 TFSI 时尚型,13.00万,2.83万公里,1年7个月,廊坊,国六,自动
奥迪-奥迪Q3 2013款 35 TFSI 舒适型,8.00万,11.56万公里,8年9个月,北京,国四,自动
奥迪-奥迪Q3 2016款 30 TFSI 时尚型典藏版,14.88万,5.65万公里,2年10个月,深圳,国五,自动
奥迪-奥迪A4L 2013款 35 TFSI 自动技术型,10.96万,6.64万公里,9年2个月,北京,国四,自动
奥迪-奥迪A4L 2013款 35 TFSI 自动舒适型,10.96万,8.95万公里,8年9个月,北京,国四,自动
奥迪-奥迪A3 2016款 30周年年型 Limousine 40 TFSI 风尚型,12.68万,7.07万公里,4年2个月,西安,国五,自动
奥迪-奥迪A4L 2016款 30周年年型 40 TFSI 时尚型,19.60万,8.82万公里,3年10个月,郑州,国五,自动
奥迪-奥迪Q5L 2016款 40 TFSI 荣享时尚型,27.00万,4.93万公里,3年4个月,东莞,国五,自动
奥迪-奥迪Q3 2013款 35 TFSI quattro 舒适型,8.90万,10.75万公里,8年10个月,北京,国四,自动
奥迪-奥迪A4L 2011款 2.0 TFSI 运动型,9.30万,14.12万公里,11年,北京,国四,自动
奥迪-奥迪A4L 2018款 Plus 40 TFSI 进取型,18.20万,8.34万公里,4年8个月,北京,国五,自动
奥迪-奥迪A7L 2012款 30 FSI 舒适型,16.60万,9.51万公里,8年10个月,北京,国四,自动
奥迪-奥迪A3 2020款 Limousine 35 TFSI 时尚型,14.58万,2.04万公里,2年4个月,许昌,国六,自动
奥迪-奥迪A4L 2013款 35 TFSI 自动舒适型,9.98万,12.45万公里,8年5个月,郑州,国四,自动
奥迪-奥迪A5 2018款 Sportback 40 TFSI 时尚型,26.00万,3.29万公里,3年6个月,东莞,国五,自动
奥迪-奥迪A7L 2011款 2.4L 技术型,8.20万,11.65万公里,10年3个月,北京,国四,自动
奥迪-奥迪A7L 2019款 45 TFSI 臻选动感型,27.50万,9.78万公里,2年10个月,东莞,国六,自动
奥迪-奥迪A4L 2013款 35 TFSI 自动标准型,12.68万,7.09万公里,8年2个月,东莞,国四,自动
奥迪-奥迪A6 2021款 A6L 50 TFSI quattro 舒适型,65.88万,1.48万公里,1年2个月,北京,国六,自动
奥迪-奥迪RS 4 2020款 RS 4 2.9T Avant,88.80万,0.50万公里,1年6个月,北京,国六,自动
奥迪-奥迪A6 2013款 A6L 55 TFSI quattro豪华型,37.50万,12.27万公里,8年4个月,北京,国五,自动
奥迪-奥迪A7L 2016款 30周年年型 TFSI 进取型,24.80万,8.22万公里,3年6个月,北京,国五,自动
奥迪-奥迪Q5 2010款 2.0TFSI 舒适型,9.50万,11.78万公里,11年8个月,北京,国四,自动
奥迪-奥迪A7L 2014款 TFSI 标准型,17.00万,6.32万公里,6年5个月,北京,国五,自动
奥迪-奥迪A7L 2016款 30周年年型 30 FSI 风尚型,29.49万,8.54万公里,3年2个月,北京,国五,自动
奥迪-奥迪A6 2014款 A6L 45 TFSI quattro豪华型,37.00万,9.32万公里,6年6个月,北京,国五,自动
奥迪-奥迪A6 2014款 A6L 50 TFSI quattro豪华型,43.50万,9.21万公里,6年4个月,北京,国五,自动
奥迪-奥迪A4L 2012款 2.0 TFSI 自动舒适型,8.38万,14.08万公里,10年3个月,成都,国四,自动
奥迪-奥迪A4L 2013款 35 TFSI 自动标准型,12.98万,9.41万公里,9年,郑州,国四,自动
奥迪-奥迪A8 2018款 40 TFSI 进取型,31.98万,8.95万公里,4年10个月,驻马店,国五,手动
奥迪-奥迪A4L 2019款 35 TFSI 进取型,20.50万,4.29万公里,2年7个月,郑州,国五,自动
奥迪-奥迪A7L 2018款 TFSI 技术型,24.90万,9.70万公里,4年11个月,郑州,国五,自动
奥迪-奥迪A4L 2013款 35 TFSI 自动标准型,10.58万,6.74万公里,9年6个月,郑州,国四,自动
奥迪-奥迪A7L 2016款 30周年年型 TFSI 进取型,27.80万,5.38万公里,3年9个月,郑州,国五,自动
奥迪-奥迪A7L 2015款 TFSI 百万纪念智领型,19.90万,13.26万公里,6年4个月,郑州,国四,自动
奥迪-奥迪A4L 2016款 30周年年型 45 TFSI quattro 个性运动版,20.50万,7.53万公里,3年10个月,东莞,国五,自动
奥迪-奥迪A8 2019款 55 TFSI quattro 动感型,63.00万,4.02万公里,2年8个月,巴中,国六,自动
奥迪-奥迪Q5L 2020款 改款 40 TFSI 荣享时尚型,30.50万,4.58万公里,1年3个月,沈阳,国六,自动
奥迪-奥迪A4L 2015款 35 TFSI 自动标准型,13.50万,6.33万公里,7年1个月,北京,国五,自动
奥迪-奥迪A3 2016款 30周年年型 Sportback 35 TFSI 时尚型,13.68万,5.45万公里,3年9个月,合肥,国五,自动
奥迪-奥迪A6 2014款 A6L 45 TFSI quattro专享型,33.80万,6.82万公里,6年8个月,合肥,国四,自动
奥迪-奥迪Q5 2017款 40 TFSI 技术型,17.88万,9.33万公里,5年10个月,北京,国五,自动
奥迪-奥迪A7L 2011款 3.0 TFSI quattro 豪华型,10.98万,15.59万公里,10年6个月,北京,国四,自动
